CityName,CityCode,ConfirmedCases20210101,ConfirmedCases20210131,url,ProvinceCode
恩施,422800,252,252,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42280000000000,42
荆门,420800,928,928,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42080000000000,42
咸宁,421200,836,836,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42120000000000,42
鄂州,420700,1394,1394,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42070000000000,42
随州,421300,1307,1307,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42130000000000,42
潜江,429005,198,198,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42900500000000,42
天门,429006,496,496,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42900600000000,42
仙桃,429004,575,575,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42900400000000,42
鹰潭,360600,18,18,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36060000000000,36
南昌,360100,235,235,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36010000000000,36
赣州,360700,74,74,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36070000000000,36
九江,360400,116,116,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36040000000000,36
景德镇,360200,6,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36020000000000,36
萍乡,360300,33,33,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36030000000000,36
吉安,360800,22,22,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36080000000000,36
宜春,360900,106,106,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36090000000000,36
抚州,361000,72,72,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36100000000000,36
新余,360500,129,129,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36050000000000,36
合肥,340100,174,174,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34010000000000,34
阜阳,342100,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34210000000000,34
蚌埠,340300,160,160,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34030000000000,34
巢湖,340181,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34018100000000,34
淮南,340400,27,27,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34040000000000,34
滁州,341100,13,13,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34110000000000,34
宿州,341300,41,41,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34130000000000,34
池州,341700,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34170000000000,34
铜陵,340700,29,29,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34070000000000,34
阜新,210900,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21090000000000,21
衢州,330800,14,14,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33080000000000,33
锦州,210700,12,12,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21070000000000,21
营口,210800,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21080000000000,21
巴中,511900,24,24,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51190000000000,51
自贡,510300,9,9,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51030000000000,51
内江,511000,22,22,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51100000000000,51
广安,511600,30,30,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51160000000000,51
凉山,513400,14,14,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51340000000000,51
乐山,511100,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51110000000000,51
德阳,510600,18,18,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51060000000000,51
攀枝花,510400,16,16,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51040000000000,51
眉山,511400,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51140000000000,51
资阳,512000,4,4,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51200000000000,51
雅安,511800,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51180000000000,51
阿坝,513200,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51320000000000,51
宜宾,511500,12,12,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51150000000000,51
广元,510800,6,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51080000000000,51
孝感,420900,3518,3518,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42090000000000,42
嘉兴,330400,46,46,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33040000000000,33
湖州,330500,10,10,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33050000000000,33
丽水,331100,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33110000000000,33
朝阳,211300,6,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21130000000000,21
上饶,361100,123,123,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN36110000000000,36
六安,341500,69,69,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34150000000000,34
安庆,340800,83,83,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34080000000000,34
宣城,341800,6,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34180000000000,34
亳州,341600,108,108,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34160000000000,34
淮北,340600,28,28,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34060000000000,34
南充,511300,39,39,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51130000000000,51
盘锦,211100,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21110000000000,21
遂宁,510900,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51090000000000,51
鞍山,210300,4,4,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21030000000000,21
辽阳,211000,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21100000000000,21
铁岭,211200,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21120000000000,21
玉树,632700,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN63270000000000,63
海北,632200,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN63220000000000,63
甘孜,513300,78,78,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51330000000000,51
潍坊,370700,44,44,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37070000000000,37
许昌,411000,39,39,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41100000000000,41
葫芦岛,211400,12,12,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21140000000000,21
广州,440100,914,967,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44010000000000,44
丹东,210600,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21060000000000,21
本溪,210500,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21050000000000,21
成都,510100,456,473,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51010000000000,51
绵阳,510700,22,22,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51070000000000,51
泸州,510500,24,24,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51050000000000,51
达州,511700,42,42,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN51170000000000,51
马鞍山,340500,38,38,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34050000000000,34
银川,640100,36,36,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN64010000000000,64
邯郸,130400,32,32,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13040000000000,13
清远,441800,12,13,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44180000000000,44
梅州,441400,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44140000000000,44
阳江,441700,16,16,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44170000000000,44
湛江,440800,30,30,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44080000000000,44
汕尾,441500,6,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44150000000000,44
江门,440700,25,28,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44070000000000,44
沈阳,210100,54,70,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21010000000000,21
抚顺,210400,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21040000000000,21
宝鸡,610300,13,13,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61030000000000,61
普洱,530800,4,4,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53080000000000,53
威海,371000,38,38,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37100000000000,37
扬州,321000,23,23,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32100000000000,32
杭州,330100,181,181,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33010000000000,33
台州,331000,147,147,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33100000000000,33
哈尔滨,230100,264,397,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23010000000000,23
曲靖,530300,13,13,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53030000000000,53
榆林,610800,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61080000000000,61
商丘,411400,91,91,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41140000000000,41
赤峰,150400,9,9,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15040000000000,15
兴安,152200,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15220000000000,15
昆明,530100,53,53,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53010000000000,53
楚雄,532300,4,4,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53230000000000,53
鄂尔多斯,150600,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15060000000000,15
绍兴,330600,42,42,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33060000000000,33
伊春,230700,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23070000000000,23
鹤岗,230400,5,5,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23040000000000,23
吉林,220200,60,60,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN22020000000000,22
长春,220100,49,149,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN22010000000000,22
河源,441600,5,5,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44160000000000,44
西安,610100,120,120,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61010000000000,61
云浮,445300,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44530000000000,44
玉溪,530400,14,14,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53040000000000,53
东营,370500,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37050000000000,37
德州,371400,37,37,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37140000000000,37
神农架,429021,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42902100000000,42
武汉,420100,50354,50355,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42010000000000,42
惠州,441300,63,63,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44130000000000,44
聊城,371500,38,38,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37150000000000,37
岳阳,430600,156,156,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN43060000000000,43
海西,632800,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN63280000000000,63
周口,411600,76,76,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41160000000000,41
延边,222400,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN22240000000000,22
菏泽,371700,18,18,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37170000000000,37
丽江,530700,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53070000000000,53
白城,220800,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN22080000000000,22
松原,220700,2,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN22070000000000,22
七台河,230900,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23090000000000,23
临沧,530900,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53090000000000,53
新乡,410700,57,57,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41070000000000,41
佳木斯,230800,15,15,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23080000000000,23
德宏,533100,5,5,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53310000000000,53
文山,532600,2,2,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53260000000000,53
汉中,610700,26,26,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61070000000000,61
齐齐哈尔,230200,43,44,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23020000000000,23
焦作,410800,32,32,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41080000000000,41
咸阳,610400,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61040000000000,61
渭南,610500,15,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61050000000000,61
安康,610900,26,26,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61090000000000,61
商洛,611000,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61100000000000,61
温州,330300,504,504,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33030000000000,33
三门峡,411200,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41120000000000,41
中山,442000,69,69,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44200000000000,44
白山,220600,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN22060000000000,22
韶关,440200,10,10,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44020000000000,44
衡水,131100,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13110000000000,13
承德,130800,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13080000000000,13
西宁,630100,15,15,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN63010000000000,63
驻马店,411700,139,139,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41170000000000,41
济南,370100,47,47,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37010000000000,37
苏州,320500,87,87,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32050000000000,32
无锡,320200,55,55,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32020000000000,32
信阳,411500,274,274,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41150000000000,41
保山,530500,9,9,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53050000000000,53
呼伦贝尔,150700,37,37,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15070000000000,15
邢台,130500,23,94,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13050000000000,13
沧州,130900,49,49,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13090000000000,13
肇庆,441200,20,24,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44120000000000,44
淄博,370300,30,30,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37030000000000,37
大庆,230600,27,29,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23060000000000,23
滨州,371600,15,15,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37160000000000,37
南京,320100,93,93,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32010000000000,32
宿迁,321300,13,13,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32130000000000,32
泉州,350500,47,47,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN35050000000000,35
南通,320600,40,40,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32060000000000,32
宜昌,420500,931,931,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42050000000000,42
海口,441000,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44100000000000,44
日照,371100,16,16,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37110000000000,37
郑州,410100,157,157,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41010000000000,41
黑河,231100,17,24,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23110000000000,23
茂名,440900,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44090000000000,44
贵阳,520100,36,36,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52010000000000,52
遵义,520300,32,32,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52030000000000,52
黔东南,522600,10,10,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52260000000000,52
黔南,522700,17,17,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52270000000000,52
六盘水,520200,10,10,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52020000000000,52
毕节,520500,23,23,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52050000000000,52
铜仁,520600,10,10,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52060000000000,52
黔西南,522300,4,4,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN52230000000000,52
乌兰察布,150900,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15090000000000,15
泰州,321200,37,37,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32120000000000,32
珠海,440400,112,112,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44040000000000,44
厦门,350200,35,35,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN35020000000000,35
济宁,370800,260,260,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN37080000000000,37
贵港,450800,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45080000000000,45
连云港,320700,48,48,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32070000000000,32
盐城,320900,27,27,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN32090000000000,32
重庆,500000,590,591,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN5e+0500000000,50
铜川,610200,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN61020000000000,61
金华,330700,55,55,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN33070000000000,33
安阳,410500,53,53,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41050000000000,41
深圳,440300,483,488,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44030000000000,44
南阳,411300,156,156,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41130000000000,41
包头,150200,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15020000000000,15
通辽,150500,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15050000000000,15
呼和浩特,150100,7,7,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15010000000000,15
芜湖,340200,34,34,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN34020000000000,34
鹤壁,410600,19,19,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41060000000000,41
庄河,210200,157,161,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN21020000000000,21
汕头,440500,26,26,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44050000000000,44
南宁,450100,55,56,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45010000000000,45
贺州,451100,4,4,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45110000000000,45
防城港,450600,19,19,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45060000000000,45
玉林,450900,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45090000000000,45
来宾,451300,11,11,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45130000000000,45
河池,451200,28,28,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45120000000000,45
桂林,450300,32,32,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45030000000000,45
梧州,450400,5,5,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45040000000000,45
崇左,451400,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45140000000000,45
钦州,450700,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45070000000000,45
北海,450500,44,44,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45050000000000,45
柳州,450200,24,24,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN45020000000000,45
大兴安岭,232700,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23270000000000,23
廊坊,131000,32,33,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13100000000000,13
莆田,350300,56,56,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN35030000000000,35
五指山,460001,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN46000100000000,46
秦皇岛,130300,10,10,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13030000000000,13
龙岩,350800,6,6,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN35080000000000,35
娄底,431300,76,76,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN43130000000000,43
张家口,130700,43,43,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13070000000000,13
襄阳,420600,1175,1175,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN42060000000000,42
佛山,440600,105,114,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44060000000000,44
平顶山,410400,58,58,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN41040000000000,41
宁德,350900,26,26,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN35090000000000,35
邵阳,430500,102,102,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN43050000000000,43
石家庄,130100,29,894,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN13010000000000,13
果洛,632600,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN63260000000000,63
海东,630200,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN63020000000000,63
海南,442100,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN44210000000000,44
吐鲁番,650400,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65040000000000,65
